search_strategy,num_words,num_states,query_len,num_beam,recall,results,query,target,lattice_num_states,alpha,search_stage,time_seconds,words_per_sec
edit_graph,20,132,10,,,"[('planeta', 5.0)]",pwlgsneaaw,planeta,13.0,,lexicon_preproc_time,0.005446356954053044,183.60897172849178
edit_graph,20,132,10,,,"[('planeta', 5.0)]",pwlgsneaaw,planeta,13.0,0.001,lexicon_preproc_time,0.18380275496747345,5.440614860081746
beam,20,132,10,10.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.0003186840331181884,3137.9043067059974
beam,20,132,10,10.0,0.0,"[('bullsticker', 11.000640169197627), ('botryoidal', 12.000640169194902)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.000244402966927737,4091.603357236132
beam_forward_backward,20,132,10,10.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('sewan', 7.0), ('botryoidal', 9.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.0011311030248180032,884.0927643712225
beam_forward_backward,20,132,10,10.0,0.0,"[('monolatry', 8.99998019158961), ('bullsticker', 11.000640169197627), ('uniformness', 11.999999999997922), ('botryoidal', 12.000640169194902), ('resinousness', 12.999999999997922)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.0011195410043001175,893.2232014361558
beam,20,132,10,20.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('bullsticker', 9.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.0002370290458202362,4218.89223128546
beam,20,132,10,20.0,0.0,"[('monolatry', 8.999980191589612), ('gedackt', 8.999980191782292), ('bullsticker', 10.00064016919592), ('sourock', 10.999999999997343), ('botryoidal', 12.000640169194902)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.00023201998556032777,4309.973546395161
beam_forward_backward,20,132,10,20.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('sewan', 7.0), ('bullsticker', 9.0), ('botryoidal', 9.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.0011048029991798103,905.1387448643654
beam_forward_backward,20,132,10,20.0,0.0,"[('nightdress', 8.000000000096477), ('monolatry', 8.999980191589612), ('gedackt', 8.999980191782292), ('halinous', 9.99999999999843), ('bullsticker', 10.00064016919592), ('sourock', 10.999999999997343), ('uniformness', 10.99999999999799), ('resinousness', 11.99999999999799), ('cretaceous', 11.99999999999843), ('botryoidal', 12.000640169194902)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.0011124080047011375,898.9507408917492
beam,20,132,10,50.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('pythonist', 8.0), ('halinous', 8.0), ('gedackt', 9.0), ('bullsticker', 9.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.00026429101126268506,3783.707948379964
beam,20,132,10,50.0,0.0,"[('monolatry', 8.999980191589612), ('gedackt', 8.999980191782292), ('sourock', 8.999999999997852), ('credit', 8.999999999998362), ('botryoidal', 9.00064016919705), ('sewan', 9.999980191685953), ('bullsticker', 10.00064016919592), ('pagedom', 10.992997677884315), ('patisserie', 10.993017486199008), ('pythonist', 11.993017486197234)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.0002388529828749597,4186.6757867683955
beam_forward_backward,20,132,10,50.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('sewan', 7.0), ('pythonist', 8.0), ('halinous', 8.0), ('gedackt', 9.0), ('bullsticker', 9.0), ('botryoidal', 9.0), ('amylamine', 10.0), ('uniformness', 10.0), ('resinousness', 10.0), ('imperceptible', 17.0), ('unentertainable', 19.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.001111475983634591,899.7045502773185
beam_forward_backward,20,132,10,50.0,0.0,"[('nightdress', 8.000000000096477), ('monolatry', 8.99998019158961), ('gedackt', 8.999980191782292), ('pythonist', 8.999999999902599), ('sourock', 8.999999999997852), ('credit', 8.999999999998362), ('planeta', 8.999999999998362), ('botryoidal', 9.00064016919705), ('sewan', 9.999980191685953), ('halinous', 9.99999999999843), ('resinousness', 10.000000000000068), ('uniformness', 10.000000000000137), ('bullsticker', 10.00064016919592), ('pagedom', 10.992997677884315), ('patisserie', 10.993017486199008), ('cretaceous', 11.99999999999843)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.0011231380049139261,890.3625339226562
beam,20,132,10,100.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('sewan', 7.0), ('pythonist', 8.0), ('halinous', 8.0), ('gedackt', 9.0), ('mononymy', 9.0), ('cretaceous', 9.0), ('bullsticker', 9.0), ('nightdress', 10.0), ('sourock', 10.0), ('monolatry', 10.0), ('resinousness', 12.0), ('uniformness', 14.0), ('unentertainable', 16.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.00023439398501068354,4266.321083087608
beam,20,132,10,100.0,0.0,"[('monolatry', 8.999980191589612), ('gedackt', 8.999980191782292), ('pythonist', 8.999999999902599), ('sourock', 8.999999999997852), ('credit', 8.999999999998362), ('planeta', 8.999999999998362), ('halinous', 8.99999999999843), ('botryoidal', 9.00064016919705), ('pagedom', 9.993017486198873), ('amylamine', 9.999980191685953), ('sewan', 9.999980191685953), ('bullsticker', 10.00064016919592), ('patisserie', 10.993017486199008), ('nightdress', 10.999999999998362), ('cretaceous', 11.999980191685443), ('imperceptible', 13.993017486198804), ('uniformness', 14.0), ('unentertainable', 15.999999999998362)]",pwlgsneaaw,planeta,,0.001,lexicon_preproc_time,0.00023563700960949063,4243.815526505152
beam_forward_backward,20,132,10,100.0,1.0,"[('planeta', 5.0), ('pagedom', 7.0), ('patisserie', 7.0), ('sewan', 7.0), ('pythonist', 8.0), ('halinous', 8.0), ('gedackt', 9.0), ('mononymy', 9.0), ('cretaceous', 9.0), ('bullsticker', 9.0), ('botryoidal', 9.0), ('credit', 9.0), ('nightdress', 10.0), ('sourock', 10.0), ('monolatry', 10.0), ('resinousness', 10.0), ('uniformness', 10.0), ('amylamine', 10.0), ('unentertainable', 14.0), ('imperceptible', 15.0)]",pwlgsneaaw,planeta,,0.0,lexicon_preproc_time,0.0011224070331081748,890.9423858747529
